country,year,consumptionMEUR
EU,2012,231037
EU,2013,232071
EU,2014,235210
EU,2015,241094
EU,2016,246785
EU,2017,256199
EU,2018,264906
EU,2019,272204
EU,2020,253638
EU,2021,272827
EU,2022,306402
EU,2023,327668
BE,2012,199749
BE,2013,204476
BE,2014,208227
BE,2015,213176
BE,2016,219724
BE,2017,228529
BE,2018,236930
BE,2019,243826
BE,2020,228198
BE,2021,247287
BE,2022,282475
BE,2023,301065
BG,2012,27554
BG,2013,26093
BG,2014,26804
BG,2015,28146
BG,2016,29208
BG,2017,31333
BG,2018,33231
BG,2019,35943
BG,2020,35664
BG,2021,41049
BG,2022,49457
BG,2023,52889
CZ,2012,81065
CZ,2013,79549
CZ,2014,76935
CZ,2015,80929
CZ,2016,85425
CZ,2017,94318
CZ,2018,102946
CZ,2019,109035
CZ,2020,101755
CZ,2021,113927
CZ,2022,136710
CZ,2023,147829
DK,2012,118981
DK,2013,121662
DK,2014,122190
DK,2015,124804
DK,2016,129224
DK,2017,134312
DK,2018,139824
DK,2019,143163
DK,2020,141662
DK,2021,153015
DK,2022,161043
DK,2023,161250
DE,2012,1503418
DE,2013,1528847
DE,2014,1560362
DE,2015,1604872
DE,2016,1651744
DE,2017,1703981
DE,2018,1757543
DE,2019,1813709
DE,2020,1695608
DE,2021,1786727
DE,2022,2017981
DE,2023,2145449
EE,2012,9015
EE,2013,9699
EE,2014,10161
EE,2015,10650
EE,2016,11273
EE,2017,12059
EE,2018,13071
EE,2019,14000
EE,2020,13669
EE,2021,15258
EE,2022,18475
EE,2023,19813
IE,2012,77437
IE,2013,78815
IE,2014,81661
IE,2015,85023
IE,2016,89168
IE,2017,92771
IE,2018,98869
IE,2019,103621
IE,2020,92719
IE,2021,104102
IE,2022,124193
IE,2023,140665
GR,2012,126952
GR,2013,120722
GR,2014,117927
GR,2015,116723
GR,2016,116006
GR,2017,119574
GR,2018,122536
GR,2019,125719
GR,2020,116480
GR,2021,123698
GR,2022,142364
GR,2023,151720
ES,2012,605806
ES,2013,593795
ES,2014,604822
ES,2015,622213
ES,2016,640052
ES,2017,670455
ES,2018,692652
ES,2019,706458
ES,2020,620683
ES,2021,679588
ES,2022,759001
ES,2023,814116
FR,2012,1101431
FR,2013,1114393
FR,2014,1126434
FR,2015,1147048
FR,2016,1169068
FR,2017,1195310
FR,2018,1231762
FR,2019,1262531
FR,2020,1190000
FR,2021,1269169
FR,2022,1372393
FR,2023,1481594
HR,2012,26845
HR,2013,26727
HR,2014,25768
HR,2015,25800
HR,2016,26580
HR,2017,27931
HR,2018,29460
HR,2019,30974
HR,2020,29080
HR,2021,33091
HR,2022,39102
HR,2023,43757
IT,2012,987528
IT,2013,975664
IT,2014,980633
IT,2015,1000447
IT,2016,1013655
IT,2017,1039650
IT,2018,1058773
IT,2019,1067942
IT,2020,958005
IT,2021,1028546
IT,2022,1156910
IT,2023,1218946
CY,2012,12863
CY,2013,11912
CY,2014,11831
CY,2015,11891
CY,2016,12261
CY,2017,12980
CY,2018,13946
CY,2019,14617
CY,2020,13544
CY,2021,14343
CY,2022,16744
CY,2023,18396
LV,2012,12407
LV,2013,13215
LV,2014,13378
LV,2015,13663
LV,2016,14300
LV,2017,15105
LV,2018,16061
LV,2019,16589
LV,2020,15843
LV,2021,17571
LV,2022,21049
LV,2023,22690
LT,2012,20365
LT,2013,21294
LT,2014,22160
LT,2015,22846
LT,2016,23987
LT,2017,25675
LT,2018,27287
LT,2019,28654
LT,2020,28053
LT,2021,31744
LT,2022,38392
LT,2023,41669
LU,2012,15063
LU,2013,15409
LU,2014,15981
LU,2015,16613
LU,2016,17272
LU,2017,18158
LU,2018,19077
LU,2019,19672
LU,2020,18196
LU,2021,20621
LU,2022,23205
LU,2023,24665
HU,2012,52115
HU,2013,51563
HU,2014,51400
HU,2015,53330
HU,2016,56197
HU,2017,61506
HU,2018,64624
HU,2019,69717
HU,2020,65638
HU,2021,71639
HU,2022,80473
HU,2023,92894
MT,2012,4311
MT,2013,4508
MT,2014,4673
MT,2015,4903
MT,2016,5083
MT,2017,5460
MT,2018,6080
MT,2019,6541
