cons_15_19_ID;country_ID;category_ID;avg_consumption_MEUR
C01AT;AT;C01;19462
C02AT;AT;C02;6119
C03AT;AT;C03;10495
C04AT;AT;C04;41312
C05AT;AT;C05;13608
C06AT;AT;C06;8298
C07AT;AT;C07;23935
C08AT;AT;C08;6194
C09AT;AT;C09;16928
C10AT;AT;C10;1725
C11AT;AT;C11;24038
C12AT;AT;C12;8280
C13AT;AT;C13;11693
C01BE;BE;C01;26656
C02BE;BE;C02;9389
C03BE;BE;C03;11652
C04BE;BE;C04;52725
C05BE;BE;C05;12485
C06BE;BE;C06;15127
C07BE;BE;C07;25668
C08BE;BE;C08;8215
C09BE;BE;C09;15694
C10BE;BE;C10;821
C11BE;BE;C11;13773
C12BE;BE;C12;15562
C13BE;BE;C13;13580
C01BG;BG;C01;6458
C02BG;BG;C02;1769
C03BG;BG;C03;1088
C04BG;BG;C04;6618
C05BG;BG;C05;1701
C06BG;BG;C06;2131
C07BG;BG;C07;4710
C08BG;BG;C08;1602
C09BG;BG;C09;2648
C10BG;BG;C10;370
C11BG;BG;C11;2318
C12BG;BG;C12;889
C13BG;BG;C13;1372
C01CY;CY;C01;1738
C02CY;CY;C02;734
C03CY;CY;C03;699
C04CY;CY;C04;2268
C05CY;CY;C05;688
C06CY;CY;C06;755
C07CY;CY;C07;2175
C08CY;CY;C08;513
C09CY;CY;C09;961
C10CY;CY;C10;425
C11CY;CY;C11;2369
C12CY;CY;C12;639
C13CY;CY;C13;708
C01CZ;CZ;C01;14802
C02CZ;CZ;C02;7654
C03CZ;CZ;C03;3436
C04CZ;CZ;C04;28361
C05CZ;CZ;C05;4835
C06CZ;CZ;C06;2266
C07CZ;CZ;C07;9551
C08CZ;CZ;C08;4214
C09CZ;CZ;C09;6973
C10CZ;CZ;C10;470
C11CZ;CZ;C11;8306
C12CZ;CZ;C12;3271
C13CZ;CZ;C13;3898
C01DE;DE;C01;170560
C02DE;DE;C02;55176
C03DE;DE;C03;78308
C04DE;DE;C04;396198
C05DE;DE;C05;89838
C06DE;DE;C06;93636
C07DE;DE;C07;236241
C08DE;DE;C08;60791
C09DE;DE;C09;157772
C10DE;DE;C10;13646
C11DE;DE;C11;101466
C12DE;DE;C12;93922
C13DE;DE;C13;125926
C01DK;DK;C01;15433
C02DK;DK;C02;4633
C03DK;DK;C03;5756
C04DK;DK;C04;39482
C05DK;DK;C05;7227
C06DK;DK;C06;3936
C07DK;DK;C07;16002
C08DK;DK;C08;6929
C09DK;DK;C09;11332
C10DK;DK;C10;1058
C11DK;DK;C11;7967
C12DK;DK;C12;9225
C13DK;DK;C13;6762
C01EE;EE;C01;2419
C02EE;EE;C02;975
C03EE;EE;C03;795
C04EE;EE;C04;2663
C05EE;EE;C05;535
C06EE;EE;C06;401
C07EE;EE;C07;1432
C08EE;EE;C08;476
C09EE;EE;C09;848
C10EE;EE;C10;63
C11EE;EE;C11;975
C12EE;EE;C12;434
C13EE;EE;C13;594
C01ES;ES;C01;88398
C02ES;ES;C02;27826
C03ES;ES;C03;29618
C04ES;ES;C04;159857
C05ES;ES;C05;31461
C06ES;ES;C06;30050
C07ES;ES;C07;87400
C08ES;ES;C08;21957
C09ES;ES;C09;47574
C10ES;ES;C10;10828
C11ES;ES;C11;101838
C12ES;ES;C12;30169
C13ES;ES;C13;36189
C01EU;EU;C01;871807
C02EU;EU;C02;279160
C03EU;EU;C03;331677
C04EU;EU;C04;1693258
C05EU;EU;C05;360689
C06EU;EU;C06;312786
C07EU;EU;C07;906866
C08EU;EU;C08;251274
C09EU;EU;C09;527224
C10EU;EU;C10;65944
C11EU;EU;C11;601091
C12EU;EU;C12;356950
C13EU;EU;C13;442036
C01FR;FR;C01;147593
C02FR;FR;C02;44978
C03FR;FR;C03;46100
C04FR;FR;C04;340579
C05FR;FR;C05;51737
