consumption_ID;country_ID;year_ID;category_ID;KPI_name;value
EU10_C01;EU;10;C01;consumption_MEUR;758693.2
EU11_C01;EU;11;C01;consumption_MEUR;774496.5
EU12_C01;EU;12;C01;consumption_MEUR;790805.2
EU13_C01;EU;13;C01;consumption_MEUR;800906.9
EU14_C01;EU;14;C01;consumption_MEUR;806428.5
EU15_C01;EU;15;C01;consumption_MEUR;827869.4
EU16_C01;EU;16;C01;consumption_MEUR;841192.8
EU17_C01;EU;17;C01;consumption_MEUR;872287.6
EU18_C01;EU;18;C01;consumption_MEUR;896995.0
EU19_C01;EU;19;C01;consumption_MEUR;920692.8
EU20_C01;EU;20;C01;consumption_MEUR;974837.2
EU21_C01;EU;21;C01;consumption_MEUR;999017.4
EU22_C01;EU;22;C01;consumption_MEUR;1079750.0
EU23_C01;EU;23;C01;consumption_MEUR;1162034.8
BE10_C01;BE;10;C01;consumption_MEUR;22666.9
BE11_C01;BE;11;C01;consumption_MEUR;22756.1
BE12_C01;BE;12;C01;consumption_MEUR;23860.3
BE13_C01;BE;13;C01;consumption_MEUR;24476.5
BE14_C01;BE;14;C01;consumption_MEUR;24902.3
BE15_C01;BE;15;C01;consumption_MEUR;25604.9
BE16_C01;BE;16;C01;consumption_MEUR;26072.5
BE17_C01;BE;17;C01;consumption_MEUR;26607.3
BE18_C01;BE;18;C01;consumption_MEUR;27235.6
BE19_C01;BE;19;C01;consumption_MEUR;27761.1
BE20_C01;BE;20;C01;consumption_MEUR;28946.2
BE21_C01;BE;21;C01;consumption_MEUR;29278.8
BE22_C01;BE;22;C01;consumption_MEUR;30215.1
BE23_C01;BE;23;C01;consumption_MEUR;31991.1
BG10_C01;BG;10;C01;consumption_MEUR;5171.7
BG11_C01;BG;11;C01;consumption_MEUR;5317.2
BG12_C01;BG;12;C01;consumption_MEUR;5469.4
BG13_C01;BG;13;C01;consumption_MEUR;5243.3
BG14_C01;BG;14;C01;consumption_MEUR;5533.3
BG15_C01;BG;15;C01;consumption_MEUR;5821.8
BG16_C01;BG;16;C01;consumption_MEUR;6138.7
BG17_C01;BG;17;C01;consumption_MEUR;6453.4
BG18_C01;BG;18;C01;consumption_MEUR;6803.0
BG19_C01;BG;19;C01;consumption_MEUR;7076.6
BG20_C01;BG;20;C01;consumption_MEUR;7518.2
BG21_C01;BG;21;C01;consumption_MEUR;8329.9
BG22_C01;BG;22;C01;consumption_MEUR;10634.2
BG23_C01;BG;23;C01;consumption_MEUR;11374.5
CZ10_C01;CZ;10;C01;consumption_MEUR;11412.6
CZ11_C01;CZ;11;C01;consumption_MEUR;12401.7
CZ12_C01;CZ;12;C01;consumption_MEUR;12832.5
CZ13_C01;CZ;13;C01;consumption_MEUR;12745.3
CZ14_C01;CZ;14;C01;consumption_MEUR;12612.4
CZ15_C01;CZ;15;C01;consumption_MEUR;12993.2
CZ16_C01;CZ;16;C01;consumption_MEUR;13600.2
CZ17_C01;CZ;17;C01;consumption_MEUR;14974.0
CZ18_C01;CZ;18;C01;consumption_MEUR;15831.2
CZ19_C01;CZ;19;C01;consumption_MEUR;16614.3
CZ20_C01;CZ;20;C01;consumption_MEUR;16719.1
CZ21_C01;CZ;21;C01;consumption_MEUR;17334.7
CZ22_C01;CZ;22;C01;consumption_MEUR;20223.2
CZ23_C01;CZ;23;C01;consumption_MEUR;21647.0
DK10_C01;DK;10;C01;consumption_MEUR;12686.7
DK11_C01;DK;11;C01;consumption_MEUR;13006.3
DK12_C01;DK;12;C01;consumption_MEUR;13586.5
DK13_C01;DK;13;C01;consumption_MEUR;13924.5
DK14_C01;DK;14;C01;consumption_MEUR;13996.0
DK15_C01;DK;15;C01;consumption_MEUR;14202.0
DK16_C01;DK;16;C01;consumption_MEUR;14971.9
DK17_C01;DK;17;C01;consumption_MEUR;15604.2
DK18_C01;DK;18;C01;consumption_MEUR;16022.9
DK19_C01;DK;19;C01;consumption_MEUR;16364.0
DK20_C01;DK;20;C01;consumption_MEUR;17543.6
DK21_C01;DK;21;C01;consumption_MEUR;18444.7
DK22_C01;DK;22;C01;consumption_MEUR;19602.7
DK23_C01;DK;23;C01;consumption_MEUR;19911.9
DE10_C01;DE;10;C01;consumption_MEUR;141767.0
DE11_C01;DE;11;C01;consumption_MEUR;139959.0
DE12_C01;DE;12;C01;consumption_MEUR;144306.0
DE13_C01;DE;13;C01;consumption_MEUR;146937.0
DE14_C01;DE;14;C01;consumption_MEUR;152700.0
DE15_C01;DE;15;C01;consumption_MEUR;160583.0
DE16_C01;DE;16;C01;consumption_MEUR;163786.0
DE17_C01;DE;17;C01;consumption_MEUR;169523.0
DE18_C01;DE;18;C01;consumption_MEUR;176647.0
DE19_C01;DE;19;C01;consumption_MEUR;182262.0
DE20_C01;DE;20;C01;consumption_MEUR;196129.0
DE21_C01;DE;21;C01;consumption_MEUR;204146.0
DE22_C01;DE;22;C01;consumption_MEUR;220202.0
DE23_C01;DE;23;C01;consumption_MEUR;231733.0
EE10_C01;EE;10;C01;consumption_MEUR;1572.7
EE11_C01;EE;11;C01;consumption_MEUR;1714.0
EE12_C01;EE;12;C01;consumption_MEUR;1827.0
EE13_C01;EE;13;C01;consumption_MEUR;2021.3
EE14_C01;EE;14;C01;consumption_MEUR;2179.9
EE15_C01;EE;15;C01;consumption_MEUR;2221.8
EE16_C01;EE;16;C01;consumption_MEUR;2278.0
EE17_C01;EE;17;C01;consumption_MEUR;2406.2
EE18_C01;EE;18;C01;consumption_MEUR;2532.9
EE19_C01;EE;19;C01;consumption_MEUR;2658.1
EE20_C01;EE;20;C01;consumption_MEUR;2799.9
EE21_C01;EE;21;C01;consumption_MEUR;2941.1
EE22_C01;EE;22;C01;consumption_MEUR;3452.1
EE23_C01;EE;23;C01;consumption_MEUR;3842.5
IE10_C01;IE;10;C01;consumption_MEUR;7334.6
IE11_C01;IE;11;C01;consumption_MEUR;7647.7
IE12_C01;IE;12;C01;consumption_MEUR;7975.7
IE13_C01;IE;13;C01;consumption_MEUR;8113.2
IE14_C01;IE;14;C01;consumption_MEUR;7835.5
IE15_C01;IE;15;C01;consumption_MEUR;7963.6
IE16_C01;IE;16;C01;consumption_MEUR;8265.7
IE17_C01;IE;17;C01;consumption_MEUR;8621.6
IE18_C01;IE;18;C01;consumption_MEUR;8925.4
IE19_C01;IE;19;C01;consumption_MEUR;9303.2
IE20_C01;IE;20;C01;consumption_MEUR;9584.6
IE21_C01;IE;21;C01;consumption_MEUR;10082.6
IE22_C01;IE;22;C01;consumption_MEUR;10629.4
IE23_C01;IE;23;C01;consumption_MEUR;11682.8
ES10_C01;ES;10;C01;consumption_MEUR;80117.0
ES11_C01;ES;11;C01;consumption_MEUR;81424.0
ES12_C01;ES;12;C01;consumption_MEUR;82027.0
ES13_C01;ES;13;C01;consumption_MEUR;83018.0
ES14_C01;ES;14;C01;consumption_MEUR;83530.0
ES15_C01;ES;15;C01;consumption_MEUR;85614.0
ES16_C01;ES;16;C01;consumption_MEUR;86024.0
ES17_C01;ES;17;C01;consumption_MEUR;87103.0
ES18_C01;ES;18;C01;consumption_MEUR;90779.0
ES19_C01;ES;19;C01;consumption_MEUR;92472.0
ES20_C01;ES;20;C01;consumption_MEUR;98428.0
ES21_C01;ES;21;C01;consumption_MEUR;97523.0
ES22_C01;ES;22;C01;consumption_MEUR;103735.0
ES23_C01;ES;23;C01;consumption_MEUR;110797.0
FR10_C01;FR;10;C01;consumption_MEUR;128553.8
FR11_C01;FR;11;C01;consumption_MEUR;132526.4
FR12_C01;FR;12;C01;consumption_MEUR;137414.4
FR13_C01;FR;13;C01;consumption_MEUR;140360.3
FR14_C01;FR;14;C01;consumption_MEUR;140372.6
FR15_C01;FR;15;C01;consumption_MEUR;142454.7
FR16_C01;FR;16;C01;consumption_MEUR;145079.8
FR17_C01;FR;17;C01;consumption_MEUR;147641.7
FR18_C01;FR;18;C01;consumption_MEUR;149870.9
FR19_C01;FR;19;C01;consumption_MEUR;152921.3
FR20_C01;FR;20;C01;consumption_MEUR;162177.9
FR21_C01;FR;21;C01;consumption_MEUR;162366.3
FR22_C01;FR;22;C01;consumption_MEUR;170087.5
FR23_C01;FR;23;C01;consumption_MEUR;185042.6
IT10_C01;IT;10;C01;consumption_MEUR;138623.3
IT11_C01;IT;11;C01;consumption_MEUR;141596.0
IT12_C01;IT;12;C01;consumption_MEUR;140470.0
IT13_C01;IT;13;C01;consumption_MEUR;140891.1
IT14_C01;IT;14;C01;consumption_MEUR;140761.3
IT15_C01;IT;15;C01;consumption_MEUR;143724.1
IT16_C01;IT;16;C01;consumption_MEUR;144930.4
IT17_C01;IT;17;C01;consumption_MEUR;149292.0
IT18_C01;IT;18;C01;consumption_MEUR;150860.8
IT19_C01;IT;19;C01;consumption_MEUR;152821.1
IT20_C01;IT;20;C01;consumption_MEUR;156542.1
IT21_C01;IT;21;C01;consumption_MEUR;157600.9
IT22_C01;IT;22;C01;consumption_MEUR;167435.3
IT23_C01;IT;23;C01;consumption_MEUR;182196.7
CY10_C01;CY;10;C01;consumption_MEUR;1498.6
CY11_C01;CY;11;C01;consumption_MEUR;1577.4
CY12_C01;CY;12;C01;consumption_MEUR;1620.9
CY13_C01;CY;13;C01;consumption_MEUR;1604.0
CY14_C01;CY;14;C01;consumption_MEUR;1619.6
CY15_C01;CY;15;C01;consumption_MEUR;1646.1
CY16_C01;CY;16;C01;consumption_MEUR;1690.2
CY17_C01;CY;17;C01;consumption_MEUR;1746.3
CY18_C01;CY;18;C01;consumption_MEUR;1769.8
CY19_C01;CY;19;C01;consumption_MEUR;1837.7
CY20_C01;CY;20;C01;consumption_MEUR;1899.4
CY21_C01;CY;21;C01;consumption_MEUR;1924.2
CY22_C01;CY;22;C01;consumption_MEUR;2215.7
CY23_C01;CY;23;C01;consumption_MEUR;2447.3
LV10_C01;LV;10;C01;consumption_MEUR;2255.6
LV11_C01;LV;11;C01;consumption_MEUR;2379.9
LV12_C01;LV;12;C01;consumption_MEUR;2626.2
LV13_C01;LV;13;C01;consumption_MEUR;2850.8
LV14_C01;LV;14;C01;consumption_MEUR;2809.8
LV15_C01;LV;15;C01;consumption_MEUR;2684.6
LV16_C01;LV;16;C01;consumption_MEUR;2733.6
LV17_C01;LV;17;C01;consumption_MEUR;2867.2
LV18_C01;LV;18;C01;consumption_MEUR;3096.3
LV19_C01;LV;19;C01;consumption_MEUR;3199.9
LV20_C01;LV;20;C01;consumption_MEUR;3381.8
LV21_C01;LV;21;C01;consumption_MEUR;3707.5
LV22_C01;LV;22;C01;consumption_MEUR;4281.6
LV23_C01;LV;23;C01;consumption_MEUR;4689.0
HU10_C01;HU;10;C01;consumption_MEUR;8873.4
HU11_C01;HU;11;C01;consumption_MEUR;9282.3
HU12_C01;HU;12;C01;consumption_MEUR;9477.3
HU13_C01;HU;13;C01;consumption_MEUR;9602.6
HU14_C01;HU;14;C01;consumption_MEUR;9728.9
HU15_C01;HU;15;C01;consumption_MEUR;10200.1
HU16_C01;HU;16;C01;consumption_MEUR;10364.4
HU17_C01;HU;17;C01;consumption_MEUR;11491.0
HU18_C01;HU;18;C01;consumption_MEUR;11866.5
HU19_C01;HU;19;C01;consumption_MEUR;12623.6
HU20_C01;HU;20;C01;consumption_MEUR;12631.9
HU21_C01;HU;21;C01;consumption_MEUR;13228.5
HU22_C01;HU;22;C01;consumption_MEUR;14013.7
HU23_C01;HU;23;C01;consumption_MEUR;16362.5
MT10_C01;MT;10;C01;consumption_MEUR;687.3
MT11_C01;MT;11;C01;consumption_MEUR;731.4
MT12_C01;MT;12;C01;consumption_MEUR;748.9
MT13_C01;MT;13;C01;consumption_MEUR;782.8
MT14_C01;MT;14;C01;consumption_MEUR;813.7
MT15_C01;MT;15;C01;consumption_MEUR;828.3
MT16_C01;MT;16;C01;consumption_MEUR;831.3
MT17_C01;MT;17;C01;consumption_MEUR;869.8
MT18_C01;MT;18;C01;consumption_MEUR;896.3
MT19_C01;MT;19;C01;consumption_MEUR;919.4
MT20_C01;MT;20;C01;consumption_MEUR;888.0
MT21_C01;MT;21;C01;consumption_MEUR;932.3
MT22_C01;MT;22;C01;consumption_MEUR;1107.0
MT23_C01;MT;23;C01;consumption_MEUR;1273.6
NL10_C01;NL;10;C01;consumption_MEUR;30475.0
NL11_C01;NL;11;C01;consumption_MEUR;31575.0
NL12_C01;NL;12;C01;consumption_MEUR;32790.0
NL13_C01;NL;13;C01;consumption_MEUR;33377.0
NL14_C01;NL;14;C01;consumption_MEUR;33660.0
NL15_C01;NL;15;C01;consumption_MEUR;34744.0
NL16_C01;NL;16;C01;consumption_MEUR;35411.0
NL17_C01;NL;17;C01;consumption_MEUR;36867.0
NL18_C01;NL;18;C01;consumption_MEUR;37799.0
NL19_C01;NL;19;C01;consumption_MEUR;39602.0
NL20_C01;NL;20;C01;consumption_MEUR;44028.0
NL21_C01;NL;21;C01;consumption_MEUR;45062.0
NL22_C01;NL;22;C01;consumption_MEUR;49307.0
NL23_C01;NL;23;C01;consumption_MEUR;53143.0
AT10_C01;AT;10;C01;consumption_MEUR;15982.5
AT11_C01;AT;11;C01;consumption_MEUR;16617.3
AT12_C01;AT;12;C01;consumption_MEUR;17314.6
AT13_C01;AT;13;C01;consumption_MEUR;17943.6
AT14_C01;AT;14;C01;consumption_MEUR;18237.6
AT15_C01;AT;15;C01;consumption_MEUR;18642.6
AT16_C01;AT;16;C01;consumption_MEUR;18776.6
AT17_C01;AT;17;C01;consumption_MEUR;19525.5
AT18_C01;AT;18;C01;consumption_MEUR;20002.6
AT19_C01;AT;19;C01;consumption_MEUR;20362.5
AT20_C01;AT;20;C01;consumption_MEUR;22105.2
AT21_C01;AT;21;C01;consumption_MEUR;21760.0
AT22_C01;AT;22;C01;consumption_MEUR;23287.2
AT23_C01;AT;23;C01;consumption_MEUR;25294.4
PT10_C01;PT;10;C01;consumption_MEUR;19079.7
PT11_C01;PT;11;C01;consumption_MEUR;19424.1
