consumption_ID;country_ID;year_ID;category_ID;consumption_MEUR
EU10_C01;EU;10;C01;758693.2
EU11_C01;EU;11;C01;774496.5
EU12_C01;EU;12;C01;790805.2
EU13_C01;EU;13;C01;800906.9
EU14_C01;EU;14;C01;806428.5
EU15_C01;EU;15;C01;827869.4
EU16_C01;EU;16;C01;841192.8
EU17_C01;EU;17;C01;872287.6
EU18_C01;EU;18;C01;896995.0
EU19_C01;EU;19;C01;920692.8
EU20_C01;EU;20;C01;974837.2
EU21_C01;EU;21;C01;999017.4
EU22_C01;EU;22;C01;1079750.0
EU23_C01;EU;23;C01;1162034.8
BE10_C01;BE;10;C01;22666.9
BE11_C01;BE;11;C01;22756.1
BE12_C01;BE;12;C01;23860.3
BE13_C01;BE;13;C01;24476.5
BE14_C01;BE;14;C01;24902.3
BE15_C01;BE;15;C01;25604.9
BE16_C01;BE;16;C01;26072.5
BE17_C01;BE;17;C01;26607.3
BE18_C01;BE;18;C01;27235.6
BE19_C01;BE;19;C01;27761.1
BE20_C01;BE;20;C01;28946.2
BE21_C01;BE;21;C01;29278.8
BE22_C01;BE;22;C01;30215.1
BE23_C01;BE;23;C01;31991.1
BG10_C01;BG;10;C01;5171.7
BG11_C01;BG;11;C01;5317.2
BG12_C01;BG;12;C01;5469.4
BG13_C01;BG;13;C01;5243.3
BG14_C01;BG;14;C01;5533.3
BG15_C01;BG;15;C01;5821.8
BG16_C01;BG;16;C01;6138.7
BG17_C01;BG;17;C01;6453.4
BG18_C01;BG;18;C01;6803.0
BG19_C01;BG;19;C01;7076.6
BG20_C01;BG;20;C01;7518.2
BG21_C01;BG;21;C01;8329.9
BG22_C01;BG;22;C01;10634.2
BG23_C01;BG;23;C01;11374.5
CZ10_C01;CZ;10;C01;11412.6
CZ11_C01;CZ;11;C01;12401.7
CZ12_C01;CZ;12;C01;12832.5
CZ13_C01;CZ;13;C01;12745.3
CZ14_C01;CZ;14;C01;12612.4
CZ15_C01;CZ;15;C01;12993.2
CZ16_C01;CZ;16;C01;13600.2
CZ17_C01;CZ;17;C01;14974.0
CZ18_C01;CZ;18;C01;15831.2
CZ19_C01;CZ;19;C01;16614.3
CZ20_C01;CZ;20;C01;16719.1
CZ21_C01;CZ;21;C01;17334.7
CZ22_C01;CZ;22;C01;20223.2
CZ23_C01;CZ;23;C01;21647.0
DK10_C01;DK;10;C01;12686.7
DK11_C01;DK;11;C01;13006.3
DK12_C01;DK;12;C01;13586.5
DK13_C01;DK;13;C01;13924.5
DK14_C01;DK;14;C01;13996.0
DK15_C01;DK;15;C01;14202.0
DK16_C01;DK;16;C01;14971.9
DK17_C01;DK;17;C01;15604.2
DK18_C01;DK;18;C01;16022.9
DK19_C01;DK;19;C01;16364.0
DK20_C01;DK;20;C01;17543.6
DK21_C01;DK;21;C01;18444.7
DK22_C01;DK;22;C01;19602.7
DK23_C01;DK;23;C01;19911.9
DE10_C01;DE;10;C01;141767.0
DE11_C01;DE;11;C01;139959.0
DE12_C01;DE;12;C01;144306.0
DE13_C01;DE;13;C01;146937.0
DE14_C01;DE;14;C01;152700.0
DE15_C01;DE;15;C01;160583.0
DE16_C01;DE;16;C01;163786.0
DE17_C01;DE;17;C01;169523.0
DE18_C01;DE;18;C01;176647.0
DE19_C01;DE;19;C01;182262.0
DE20_C01;DE;20;C01;196129.0
DE21_C01;DE;21;C01;204146.0
DE22_C01;DE;22;C01;220202.0
DE23_C01;DE;23;C01;231733.0
EE10_C01;EE;10;C01;1572.7
EE11_C01;EE;11;C01;1714.0
EE12_C01;EE;12;C01;1827.0
EE13_C01;EE;13;C01;2021.3
EE14_C01;EE;14;C01;2179.9
EE15_C01;EE;15;C01;2221.8
EE16_C01;EE;16;C01;2278.0
EE17_C01;EE;17;C01;2406.2
EE18_C01;EE;18;C01;2532.9
EE19_C01;EE;19;C01;2658.1
EE20_C01;EE;20;C01;2799.9
EE21_C01;EE;21;C01;2941.1
EE22_C01;EE;22;C01;3452.1
EE23_C01;EE;23;C01;3842.5
IE10_C01;IE;10;C01;7334.6
IE11_C01;IE;11;C01;7647.7
IE12_C01;IE;12;C01;7975.7
IE13_C01;IE;13;C01;8113.2
IE14_C01;IE;14;C01;7835.5
IE15_C01;IE;15;C01;7963.6
IE16_C01;IE;16;C01;8265.7
IE17_C01;IE;17;C01;8621.6
IE18_C01;IE;18;C01;8925.4
IE19_C01;IE;19;C01;9303.2
IE20_C01;IE;20;C01;9584.6
