income_ID;country_ID;year_ID;age_ID;gender_ID;median_income_MEUR
EU15_A65_F;EU;15;A65;F;14063.0
EU16_A65_F;EU;16;A65;F;14287.0
EU17_A65_F;EU;17;A65;F;14595.0
EU18_A65_F;EU;18;A65;F;14962.0
EU19_A65_F;EU;19;A65;F;15246.0
EU20_A65_F;EU;20;A65;F;16061.0
EU21_A65_F;EU;21;A65;F;16267.0
EU22_A65_F;EU;22;A65;F;16587.0
EU23_A65_F;EU;23;A65;F;17670.0
EU24_A65_F;EU;24;A65;F;18880.0
BE15_A65_F;BE;15;A65;F;17275.0
BE16_A65_F;BE;16;A65;F;17460.0
BE17_A65_F;BE;17;A65;F;18119.0
BE18_A65_F;BE;18;A65;F;18530.0
BE19_A65_F;BE;19;A65;F;19293.0
BE20_A65_F;BE;20;A65;F;19605.0
BE21_A65_F;BE;21;A65;F;20346.0
BE22_A65_F;BE;22;A65;F;20518.0
BE23_A65_F;BE;23;A65;F;22407.0
BE24_A65_F;BE;24;A65;F;24048.0
BG15_A65_F;BG;15;A65;F;2339.0
BG16_A65_F;BG;16;A65;F;2438.0
BG17_A65_F;BG;17;A65;F;2506.0
BG18_A65_F;BG;18;A65;F;2652.0
BG19_A65_F;BG;19;A65;F;2866.0
BG20_A65_F;BG;20;A65;F;3002.0
BG21_A65_F;BG;21;A65;F;3500.0
BG22_A65_F;BG;22;A65;F;3533.0
BG23_A65_F;BG;23;A65;F;4910.0
BG24_A65_F;BG;24;A65;F;5876.0
CZ15_A65_F;CZ;15;A65;F;6104.0
CZ16_A65_F;CZ;16;A65;F;6384.0
CZ17_A65_F;CZ;17;A65;F;6557.0
CZ18_A65_F;CZ;18;A65;F;6917.0
CZ19_A65_F;CZ;19;A65;F;7472.0
CZ20_A65_F;CZ;20;A65;F;8031.0
CZ21_A65_F;CZ;21;A65;F;8557.0
CZ22_A65_F;CZ;22;A65;F;9081.0
CZ23_A65_F;CZ;23;A65;F;10525.0
CZ24_A65_F;CZ;24;A65;F;12492.0
DK15_A65_F;DK;15;A65;F;22489.0
DK16_A65_F;DK;16;A65;F;22445.0
DK17_A65_F;DK;17;A65;F;23489.0
DK18_A65_F;DK;18;A65;F;24080.0
DK19_A65_F;DK;19;A65;F;24601.0
DK20_A65_F;DK;20;A65;F;24787.0
DK21_A65_F;DK;21;A65;F;25664.0
DK22_A65_F;DK;22;A65;F;26395.0
DK23_A65_F;DK;23;A65;F;27284.0
DK24_A65_F;DK;24;A65;F;28180.0
DE15_A65_F;DE;15;A65;F;17918.0
DE16_A65_F;DE;16;A65;F;18094.0
DE17_A65_F;DE;17;A65;F;18723.0
DE18_A65_F;DE;18;A65;F;19282.0
DE19_A65_F;DE;19;A65;F;19896.0
DE20_A65_F;DE;20;A65;F;21826.0
DE21_A65_F;DE;21;A65;F;21309.0
DE22_A65_F;DE;22;A65;F;21386.0
DE23_A65_F;DE;23;A65;F;22320.0
DE24_A65_F;DE;24;A65;F;23328.0
EE15_A65_F;EE;15;A65;F;5030.0
EE16_A65_F;EE;16;A65;F;5343.0
EE17_A65_F;EE;17;A65;F;5776.0
EE18_A65_F;EE;18;A65;F;6162.0
EE19_A65_F;EE;19;A65;F;6887.0
EE20_A65_F;EE;20;A65;F;7522.0
EE21_A65_F;EE;21;A65;F;7815.0
EE22_A65_F;EE;22;A65;F;8293.0
EE23_A65_F;EE;23;A65;F;8833.0
EE24_A65_F;EE;24;A65;F;10054.0
IE15_A65_F;IE;15;A65;F;18664.0
IE16_A65_F;IE;16;A65;F;18359.0
IE17_A65_F;IE;17;A65;F;19030.0
IE18_A65_F;IE;18;A65;F;20264.0
IE19_A65_F;IE;19;A65;F;22923.0
IE20_A65_F;IE;20;A65;F;23684.0
IE21_A65_F;IE;21;A65;F;24638.0
IE22_A65_F;IE;22;A65;F;24240.0
IE23_A65_F;IE;23;A65;F;27251.0
IE24_A65_F;IE;24;A65;F;28750.0
GR15_A65_F;GR;15;A65;F;7520.0
GR16_A65_F;GR;16;A65;F;7573.0
GR17_A65_F;GR;17;A65;F;7600.0
GR18_A65_F;GR;18;A65;F;7687.0
GR19_A65_F;GR;19;A65;F;7867.0
GR20_A65_F;GR;20;A65;F;8480.0
GR21_A65_F;GR;21;A65;F;8347.0
GR22_A65_F;GR;22;A65;F;8960.0
GR23_A65_F;GR;23;A65;F;9225.0
GR24_A65_F;GR;24;A65;F;9657.0
ES15_A65_F;ES;15;A65;F;12990.0
ES16_A65_F;ES;16;A65;F;13262.0
ES17_A65_F;ES;17;A65;F;13398.0
ES18_A65_F;ES;18;A65;F;13681.0
ES19_A65_F;ES;19;A65;F;14243.0
ES20_A65_F;ES;20;A65;F;15685.0
ES21_A65_F;ES;21;A65;F;15713.0
ES22_A65_F;ES;22;A65;F;16339.0
ES23_A65_F;ES;23;A65;F;17962.0
ES24_A65_F;ES;24;A65;F;19107.0
FR15_A65_F;FR;15;A65;F;21287.0
FR16_A65_F;FR;16;A65;F;21441.0
FR17_A65_F;FR;17;A65;F;21747.0
FR18_A65_F;FR;18;A65;F;22086.0
FR19_A65_F;FR;19;A65;F;21922.0
FR20_A65_F;FR;20;A65;F;21216.0
FR21_A65_F;FR;21;A65;F;21268.0
FR22_A65_F;FR;22;A65;F;21230.0
FR23_A65_F;FR;23;A65;F;22443.0
FR24_A65_F;FR;24;A65;F;23809.0
HR15_A65_F;HR;15;A65;F;4672.0
HR16_A65_F;HR;16;A65;F;4778.0
HR17_A65_F;HR;17;A65;F;5049.0
HR18_A65_F;HR;18;A65;F;5256.0
HR19_A65_F;HR;19;A65;F;5475.0
