inflation_cat_ID;country_ID;year_ID;category_ID;inflation_%
EU10_C01;EU;10;C01;0.006999999999999999
EU11_C01;EU;11;C01;0.032
EU12_C01;EU;12;C01;0.03
EU13_C01;EU;13;C01;0.025
EU14_C01;EU;14;C01;-0.002
EU15_C01;EU;15;C01;0.003
EU16_C01;EU;16;C01;0.005
EU17_C01;EU;17;C01;0.021
EU18_C01;EU;18;C01;0.019
EU19_C01;EU;19;C01;0.021
EU20_C01;EU;20;C01;0.025
EU21_C01;EU;21;C01;0.016
EU22_C01;EU;22;C01;0.11900000000000001
EU23_C01;EU;23;C01;0.126
EU24_C01;EU;24;C01;0.023
BE10_C01;BE;10;C01;0.021
BE11_C01;BE;11;C01;0.024
BE12_C01;BE;12;C01;0.033
BE13_C01;BE;13;C01;0.034
BE14_C01;BE;14;C01;-0.003
BE15_C01;BE;15;C01;0.012
BE16_C01;BE;16;C01;0.02
BE17_C01;BE;17;C01;0.008
BE18_C01;BE;18;C01;0.021
BE19_C01;BE;19;C01;0.006
BE20_C01;BE;20;C01;0.027000000000000003
BE21_C01;BE;21;C01;-0.005
BE22_C01;BE;22;C01;0.09
BE23_C01;BE;23;C01;0.138
BE24_C01;BE;24;C01;0.021
BG10_C01;BG;10;C01;-0.005
BG11_C01;BG;11;C01;0.065
BG12_C01;BG;12;C01;0.031
BG13_C01;BG;13;C01;0.025
BG14_C01;BG;14;C01;-0.01
BG15_C01;BG;15;C01;0.006
BG16_C01;BG;16;C01;0.0
BG17_C01;BG;17;C01;0.036000000000000004
BG18_C01;BG;18;C01;0.018000000000000002
BG19_C01;BG;19;C01;0.049
BG20_C01;BG;20;C01;0.051
BG21_C01;BG;21;C01;0.027000000000000003
BG22_C01;BG;22;C01;0.21600000000000003
BG23_C01;BG;23;C01;0.14
BG24_C01;BG;24;C01;0.027999999999999997
CZ10_C01;CZ;10;C01;0.013999999999999999
CZ11_C01;CZ;11;C01;0.052000000000000005
CZ12_C01;CZ;12;C01;0.07400000000000001
CZ13_C01;CZ;13;C01;0.044000000000000004
CZ14_C01;CZ;14;C01;0.021
CZ15_C01;CZ;15;C01;-0.009000000000000001
CZ16_C01;CZ;16;C01;-0.008
CZ17_C01;CZ;17;C01;0.052000000000000005
CZ18_C01;CZ;18;C01;0.012
CZ19_C01;CZ;19;C01;0.027000000000000003
CZ20_C01;CZ;20;C01;0.047
CZ21_C01;CZ;21;C01;0.008
CZ22_C01;CZ;22;C01;0.17
CZ23_C01;CZ;23;C01;0.11800000000000001
CZ24_C01;CZ;24;C01;-0.023
DK10_C01;DK;10;C01;0.004
DK11_C01;DK;11;C01;0.04
DK12_C01;DK;12;C01;0.043
DK13_C01;DK;13;C01;0.004
DK14_C01;DK;14;C01;-0.009000000000000001
DK15_C01;DK;15;C01;0.01
DK16_C01;DK;16;C01;0.001
DK17_C01;DK;17;C01;0.027999999999999997
DK18_C01;DK;18;C01;0.0
DK19_C01;DK;19;C01;0.013999999999999999
DK20_C01;DK;20;C01;0.006
DK21_C01;DK;21;C01;0.006
DK22_C01;DK;22;C01;0.115
DK23_C01;DK;23;C01;0.084
DK24_C01;DK;24;C01;0.017
DE10_C01;DE;10;C01;0.013999999999999999
DE11_C01;DE;11;C01;0.028999999999999998
DE12_C01;DE;12;C01;0.033
DE13_C01;DE;13;C01;0.038
DE14_C01;DE;14;C01;0.009000000000000001
DE15_C01;DE;15;C01;0.006
DE16_C01;DE;16;C01;0.01
DE17_C01;DE;17;C01;0.027999999999999997
DE18_C01;DE;18;C01;0.023
DE19_C01;DE;19;C01;0.012
DE20_C01;DE;20;C01;0.023
DE21_C01;DE;21;C01;0.031
DE22_C01;DE;22;C01;0.126
DE23_C01;DE;23;C01;0.127
DE24_C01;DE;24;C01;0.023
EE10_C01;EE;10;C01;0.028999999999999998
EE11_C01;EE;11;C01;0.094
EE12_C01;EE;12;C01;0.034
EE13_C01;EE;13;C01;0.040999999999999995
EE14_C01;EE;14;C01;0.0
EE15_C01;EE;15;C01;-0.003
EE16_C01;EE;16;C01;0.002
EE17_C01;EE;17;C01;0.055999999999999994
EE18_C01;EE;18;C01;0.031
EE19_C01;EE;19;C01;0.03
EE20_C01;EE;20;C01;0.02
EE21_C01;EE;21;C01;0.016
EE22_C01;EE;22;C01;0.198
EE23_C01;EE;23;C01;0.156
EE24_C01;EE;24;C01;0.033
IE10_C01;IE;10;C01;-0.046
IE11_C01;IE;11;C01;0.012
IE12_C01;IE;12;C01;0.005
IE13_C01;IE;13;C01;0.011000000000000001
IE14_C01;IE;14;C01;-0.022000000000000002
IE15_C01;IE;15;C01;-0.021
IE16_C01;IE;16;C01;-0.013000000000000001
IE17_C01;IE;17;C01;-0.021
IE18_C01;IE;18;C01;-0.02
IE19_C01;IE;19;C01;-0.006999999999999999
IE20_C01;IE;20;C01;-0.013999999999999999
IE21_C01;IE;21;C01;-0.003
IE22_C01;IE;22;C01;0.069
IE23_C01;IE;23;C01;0.098
IE24_C01;IE;24;C01;0.026000000000000002
GR10_C01;GR;10;C01;0.001
GR11_C01;GR;11;C01;0.031
GR12_C01;GR;12;C01;0.015
GR13_C01;GR;13;C01;0.002
GR14_C01;GR;14;C01;-0.017
GR15_C01;GR;15;C01;0.016
GR16_C01;GR;16;C01;-0.001
GR17_C01;GR;17;C01;0.002
GR18_C01;GR;18;C01;0.004
GR19_C01;GR;19;C01;-0.002
GR20_C01;GR;20;C01;0.016
GR21_C01;GR;21;C01;0.015
GR22_C01;GR;22;C01;0.11699999999999999
GR23_C01;GR;23;C01;0.11599999999999999
GR24_C01;GR;24;C01;0.031
ES10_C01;ES;10;C01;-0.004
ES11_C01;ES;11;C01;0.017
ES12_C01;ES;12;C01;0.021
ES13_C01;ES;13;C01;0.027999999999999997
ES14_C01;ES;14;C01;-0.004
ES15_C01;ES;15;C01;0.012
ES16_C01;ES;16;C01;0.013999999999999999
ES17_C01;ES;17;C01;0.012
ES18_C01;ES;18;C01;0.016
ES19_C01;ES;19;C01;0.01
ES20_C01;ES;20;C01;0.024
ES21_C01;ES;21;C01;0.018000000000000002
ES22_C01;ES;22;C01;0.11599999999999999
ES23_C01;ES;23;C01;0.11699999999999999
ES24_C01;ES;24;C01;0.036000000000000004
FR10_C01;FR;10;C01;0.008
FR11_C01;FR;11;C01;0.02
FR12_C01;FR;12;C01;0.028999999999999998
FR13_C01;FR;13;C01;0.012
FR14_C01;FR;14;C01;-0.008
FR15_C01;FR;15;C01;0.004
FR16_C01;FR;16;C01;0.006
FR17_C01;FR;17;C01;0.011000000000000001
FR18_C01;FR;18;C01;0.02
FR19_C01;FR;19;C01;0.024
FR20_C01;FR;20;C01;0.02
FR21_C01;FR;21;C01;0.006
FR22_C01;FR;22;C01;0.073
FR23_C01;FR;23;C01;0.124
FR24_C01;FR;24;C01;0.013999999999999999
HR10_C01;HR;10;C01;-0.016
HR11_C01;HR;11;C01;0.035
HR12_C01;HR;12;C01;0.036000000000000004
HR13_C01;HR;13;C01;0.04
HR14_C01;HR;14;C01;-0.024
HR15_C01;HR;15;C01;0.003
HR16_C01;HR;16;C01;-0.004
HR17_C01;HR;17;C01;0.028999999999999998
HR18_C01;HR;18;C01;0.009000000000000001
HR19_C01;HR;19;C01;0.0
HR20_C01;HR;20;C01;0.019
HR21_C01;HR;21;C01;0.019
HR22_C01;HR;22;C01;0.157
HR23_C01;HR;23;C01;0.127
HR24_C01;HR;24;C01;0.04
IT10_C01;IT;10;C01;0.002
IT11_C01;IT;11;C01;0.026000000000000002
IT12_C01;IT;12;C01;0.026000000000000002
IT13_C01;IT;13;C01;0.022000000000000002
IT14_C01;IT;14;C01;-0.001
IT15_C01;IT;15;C01;0.011000000000000001
IT16_C01;IT;16;C01;0.002
IT17_C01;IT;17;C01;0.02
IT18_C01;IT;18;C01;0.012
IT19_C01;IT;19;C01;0.006999999999999999
