indicator_ID;country_ID;year_ID;consumption_MEUR;net_income_MEUR;hvpi_2015;inflation;saving_net;saving_ratio
EU12;EU;12;231037;242021;98;2.6;15543;7.497777777777778
EU13;EU;13;232071;243075;99;1.3;15719;7.920000000000001
EU14;EU;14;235210;246891;99;0.4;16375;7.895925925925926
EU15;EU;15;241094;252831;100;0.1;16428;8.295925925925925
EU16;EU;16;246785;259480;100;0.2;17394;8.83
EU17;EU;17;256199;268274;101;1.6;16924;8.437037037037037
EU18;EU;18;264906;277513;103;1.8;17636;8.763703703703705
EU19;EU;19;272204;287273;105;1.4;20419;10.09
EU20;EU;20;253638;287418;105;0.7;38653;15.68962962962963
EU21;EU;21;272827;300797;108;2.9;33361;13.44888888888889
EU22;EU;22;306402;323130;118;9.2;22601;9.467037037037036
EU23;EU;23;327668;348827;126;6.4;27277;10.188437450083187
BE12;BE;12;199749;214222;97;2.6;17644;14.3
BE13;BE;13;204476;216093;98;1.2;14927;13.26
BE14;BE;14;208227;218886;99;0.5;13858;12.74
BE15;BE;15;213176;221368;100;0.6;11304;11.68
BE16;BE;16;219724;228012;101;1.8;11506;11.58
BE17;BE;17;228529;236290;104;2.2;10689;11.18
BE18;BE;18;236930;244326;106;2.3;10554;10.94
BE19;BE;19;243826;255266;107;1.2;14750;12.26
BE20;BE;20;228198;259897;108;0.4;34473;19.25
BE21;BE;21;247287;273452;111;3.2;28554;16.79
BE22;BE;22;282475;298136;123;10.3;18497;12.84
BE23;BE;23;301065;323662;126;2.3;25572;14.24
BG12;BG;12;27554;25019;102;2.4;-2129;-6.93
BG13;BG;13;26093;25457;102;0.4;-184;0.73
BG14;BG;14;26804;25775;101;-1.6;-466;-0.14
BG15;BG;15;28146;26768;100;-1.1;-733;-1.03
BG16;BG;16;29208;27961;98;-1.3;-690;-1.02
BG17;BG;17;31333;30033;99;1.2;-505;-0.24
BG18;BG;18;33231;33307;102;2.6;821;3.75
BG19;BG;19;35943;34702;104;2.5;-441;0.23
BG20;BG;20;35664;34152;106;1.2;-682;-0.49
BG21;BG;21;41049;37445;109;2.8;-2635;-5.46
BG22;BG;22;49457;44859;123;13.0;-3521;-6.4
BG23;BG;23;52889;48426;134;8.6;-2785;-6.106637151253768
CZ12;CZ;12;81065;85749;98;3.5;5263;11.5
CZ13;CZ;13;79549;82782;99;1.4;4782;11.06
CZ14;CZ;14;76935;81080;99;0.4;5503;12.08
CZ15;CZ;15;80929;84175;100;0.3;4563;11.01
CZ16;CZ;16;85425;88239;100;0.6;4024;10.38
CZ17;CZ;17;94318;97669;103;2.4;4608;10.6
CZ18;CZ;18;102946;107534;105;2.0;5999;11.47
CZ19;CZ;19;109035;114169;107;2.6;6620;11.85
CZ20;CZ;20;101755;115005;111;3.3;14753;18.83
CZ21;CZ;21;113927;129673;115;3.3;17335;19.78
CZ22;CZ;22;136710;153928;132;14.8;18301;18.47
CZ23;CZ;23;147829;173483;147;12.0;25706;20.84
DK12;DK;12;118981;108462;98;2.4;-2487;5.13
DK13;DK;13;121662;110065;99;0.5;-1821;5.49
DK14;DK;14;122190;110570;99;0.4;-7530;1.1
DK15;DK;15;124804;115997;100;0.2;2223;8.23
DK16;DK;16;129224;122638;100;0.0;3285;8.83
DK17;DK;17;134312;126756;101;1.1;4474;9.35
DK18;DK;18;139824;131773;101;0.7;4913;9.41
DK19;DK;19;143163;135302;102;0.7;2386;7.89
DK20;DK;20;141662;135512;102;0.3;3880;8.98
DK21;DK;21;153015;139594;104;1.9;-73;6.43
DK22;DK;22;161043;154412;113;8.5;8619;10.91
DK23;DK;23;161250;161902;117;3.4;14535;14.12
DE12;DE;12;1503418;1617417;97;2.2;166119;16.63
DE13;DE;13;1528847;1639876;98;1.6;162499;16.5
DE14;DE;14;1560362;1680859;99;0.8;174241;17.0
DE15;DE;15;1604872;1732228;100;0.7;182188;17.16
DE16;DE;16;1651744;1786047;100;0.4;187234;17.2
DE17;DE;17;1703981;1845358;102;1.7;199218;17.53
DE18;DE;18;1757543;1920328;104;1.9;217814;18.17
DE19;DE;19;1813709;1966165;105;1.4;211023;17.8
DE20;DE;20;1695608;1967301;105;0.4;327031;23.29
DE21;DE;21;1786727;2024038;109;3.2;296515;21.94
DE22;DE;22;2017981;2186293;118;8.7;231115;18.87
DE23;DE;23;2145449;2337694;125;6.0;249974;19.21
EE12;EE;12;9015;8798;96;4.2;4;5.32
EE13;EE;13;9699;9659;99;3.2;213;7.1
EE14;EE;14;10161;10012;99;0.5;165;6.44
EE15;EE;15;10650;10711;100;0.1;424;8.34
EE16;EE;16;11273;11233;100;0.8;348;7.36
EE17;EE;17;12059;12105;104;3.7;483;8.08
EE18;EE;18;13071;13687;108;3.4;1015;11.12
EE19;EE;19;14000;14549;110;2.3;947;10.32
EE20;EE;20;13669;14767;109;-0.6;1434;13.22
EE21;EE;21;15258;16012;114;4.5;754;8.74
EE22;EE;22;18475;18209;137;19.4;-266;2.96
EE23;EE;23;19813;19553;149;9.1;-261;3.25
IE12;IE;12;77437;84056;99;1.9;8852;14.44
IE13;IE;13;78815;83605;99;0.5;6732;12.28
IE14;IE;14;81661;84899;100;0.3;5443;10.98
IE15;IE;15;85023;89961;100;0.0;6963;12.09
IE16;IE;16;89168;94554;99;-0.2;7054;11.89
IE17;IE;17;92771;100829;100;0.3;10396;14.3
IE18;IE;18;98869;105048;100;0.7;8885;12.7
IE19;IE;19;103621;112840;101;0.9;10956;13.84
IE20;IE;20;92719;119053;101;-0.5;28005;26.67
IE21;IE;21;104102;124967;103;2.4;24411;22.72
IE22;IE;22;124193;135066;112;8.1;14386;15.13
IE23;IE;23;140665;150246;117;5.2;13803;13.34
GR12;GR;12;126952;112458;103;1.0;-14499;-2.28
GR13;GR;13;120722;104967;102;-0.9;-15762;-4.06
GR14;GR;14;117927;107829;101;-1.4;-10106;0.26
GR15;GR;15;116723;106439;100;-1.1;-10292;-0.36
GR16;GR;16;116006;105872;100;0.0;-10115;-0.57
GR17;GR;17;119574;108390;101;1.1;-11136;-1.66
GR18;GR;18;122536;107139;101;0.8;-15377;-5.63
GR19;GR;19;125719;115527;102;0.5;-10171;-1.32
GR20;GR;20;116480;110166;101;-1.3;-6290;1.76
GR21;GR;21;123698;122456;101;0.6;-1216;5.58
GR22;GR;22;142364;130216;111;9.3;-12123;-2.27
GR23;GR;23;151720;141082;115;4.2;-10614;-0.89
ES12;ES;12;605806;627570;99;2.4;20020;6.99
ES13;ES;13;593795;627499;100;1.5;31245;8.47
ES14;ES;14;604822;629250;100;-0.2;22440;7.15
ES15;ES;15;622213;655373;100;-0.6;30219;8.16
ES16;ES;16;640052;672174;99;-0.3;29012;7.9
ES17;ES;17;670455;692155;101;2.0;18606;6.29
ES18;ES;18;692652;712540;103;1.7;17057;5.98
ES19;ES;19;706458;747978;104;0.8;38768;8.66
ES20;ES;20;620683;729805;103;-0.3;105295;17.77
ES21;ES;21;679588;764598;107;3.0;82785;14.29
ES22;ES;22;759001;801958;115;8.3;40782;8.97
ES23;ES;23;814116;888799;119;3.4;73801;11.96
FR12;FR;12;1101431;1231453;98;2.2;132561;15.56
FR13;FR;13;1114393;1226120;99;1.0;114107;14.21
FR14;FR;14;1126434;1243092;99;0.6;119106;14.52
FR15;FR;15;1147048;1257754;100;0.1;113316;13.98
FR16;FR;16;1169068;1279348;100;0.3;112891;13.79
FR17;FR;17;1195310;1309912;101;1.2;117323;14.01
FR18;FR;18;1231762;1345906;103;2.1;117066;13.87
FR19;FR;19;1262531;1389939;104;1.3;130371;14.62
FR20;FR;20;1190000;1400348;105;0.5;215608;20.43
FR21;FR;21;1269169;1465582;107;2.1;202160;19.07
FR22;FR;22;1372393;1536957;114;5.9;171233;16.83
FR23;FR;23;1481594;1663841;120;5.7;190505;16.89
HR12;HR;12;26845;26328;97;3.4;409;7.81
HR13;HR;13;26727;25993;100;2.3;264;7.36
HR14;HR;14;25768;25879;100;0.2;1069;10.08
HR15;HR;15;25800;25443;100;-0.3;662;8.75
HR16;HR;16;26580;26913;99;-0.6;1398;11.01
HR17;HR;17;27931;27630;100;1.3;804;9.03
HR18;HR;18;29460;29414;102;1.6;1112;9.68
HR19;HR;19;30974;30815;103;0.8;1097;9.35
HR20;HR;20;29080;30607;103;0.0;2690;13.84
HR21;HR;21;33091;34339;105;2.7;2470;12.36
HR22;HR;22;39102;38388;117;10.7;674;7.33
HR23;HR;23;43757;45033;126;8.4;2857;10.97
IT12;IT;12;987528;1007428;98;3.3;21485;10.28
IT13;IT;13;975664;1010062;99;1.2;36045;11.61
IT14;IT;14;980633;1017907;99;0.2;40515;11.92
IT15;IT;15;1000447;1031248;100;0.1;33197;11.2
IT16;IT;16;1013655;1045364;99;-0.1;35657;11.31
IT17;IT;17;1039650;1068373;101;1.3;33329;10.97
IT18;IT;18;1058773;1084105;102;1.2;30835;10.72
IT19;IT;19;1067942;1092046;103;0.6;28957;10.52
IT20;IT;20;958005;1064839;103;-0.1;111055;17.86
IT21;IT;21;1028546;1117107;105;1.9;91839;15.87
IT22;IT;22;1156910;1188950;114;8.7;38340;11.45
IT23;IT;23;1218946;1251941;120;5.9;40717;11.27
CY12;CY;12;12863;12789;101;3.1;-86;5.09
CY13;CY;13;11912;12144;101;0.4;-491;2.58
CY14;CY;14;11831;11211;101;-0.3;-806;0.04
CY15;CY;15;11891;11230;100;-1.5;-549;2.15
CY16;CY;16;12261;11890;98;-1.2;-423;3.04
CY17;CY;17;12980;12554;99;0.7;-496;2.58
CY18;CY;18;13946;13527;100;0.8;-277;3.94
CY19;CY;19;14617;14908;100;0.5;145;6.44
CY20;CY;20;13544;14982;99;-1.1;1277;13.76
CY21;CY;21;14343;16274;101;2.3;1658;15.31
CY22;CY;22;16744;18388;110;8.1;1316;12.32
CY23;CY;23;18396;19258;114;3.9;896;9.76
LV12;LV;12;12407;11664;99;2.3;-521;0.38
LV13;LV;13;13215;11894;99;0.0;-1090;-3.88
LV14;LV;14;13378;12370;99;0.7;-655;-0.17
LV15;LV;15;13663;13151;100;0.2;-183;3.25
LV16;LV;16;14300;13847;100;0.1;-36;4.32
LV17;LV;17;15105;14744;103;2.9;116;5.29
LV18;LV;18;16061;15887;105;2.6;380;6.76
LV19;LV;19;16589;16693;108;2.7;725;8.63
LV20;LV;20;15843;16926;108;0.1;1667;13.92
LV21;LV;21;17571;18074;112;3.2;1100;10.45
LV22;LV;22;21049;19904;131;17.2;-458;2.88
LV23;LV;23;22690;22626;143;9.1;716;4.91
LT12;LT;12;20365;19015;99;3.2;-1217;-2.09
LT13;LT;13;21294;20193;100;1.2;-939;-0.49
LT14;LT;14;22160;20680;100;0.2;-1241;-1.69
LT15;LT;15;22846;21461;100;-0.7;-1114;-0.96
LT16;LT;16;23987;23182;100;0.7;-475;1.88
LT17;LT;17;25675;23380;104;3.7;-1973;-4.05
LT18;LT;18;27287;25179;107;2.5;-1760;-2.78
LT19;LT;19;28654;27651;109;2.2;-640;1.63
LT20;LT;20;28053;30204;110;1.1;2546;11.74
LT21;LT;21;31744;33497;115;4.6;2241;10.06
LT22;LT;22;38392;37998;137;18.9;200;4.42
LT23;LT;23;41669;42190;149;8.7;1232;6.68
LU12;LU;12;15063;16133;97;2.9;1169;13.2
LU13;LU;13;15409;17153;99;1.7;1854;16.4
LU14;LU;14;15981;17747;99;0.7;1922;16.44
LU15;LU;15;16613;18027;100;0.1;1507;14.34
LU16;LU;16;17272;18439;100;0.0;1262;13.0
LU17;LU;17;18158;19680;102;2.1;1598;14.08
LU18;LU;18;19077;20473;104;2.0;1325;12.8
LU19;LU;19;19672;21632;105;1.6;2054;15.49
LU20;LU;20;18196;23235;105;0.0;5064;26.88
LU21;LU;21;20621;23539;109;3.5;2969;18.69
LU22;LU;22;23205;24868;118;8.2;1513;13.39
LU23;LU;23;24665;24737;122;2.9;106;8.95
HU12;HU;12;52115;55347;98;5.7;3462;11.21
HU13;HU;13;51563;55815;99;1.7;4537;12.86
HU14;HU;14;51400;55686;99;0.0;4581;12.87
HU15;HU;15;53330;57719;100;0.1;4661;12.67
HU16;HU;16;56197;60542;100;0.4;4650;12.16
HU17;HU;17;61506;66722;102;2.4;5571;12.65
HU18;HU;18;64624;72365;105;2.9;8096;15.25
HU19;HU;19;69717;79087;109;3.4;9577;16.09
HU20;HU;20;65638;74734;113;3.4;9458;16.81
HU21;HU;21;71639;84224;119;5.2;12942;19.37
HU22;HU;22;80473;91618;137;15.3;11464;16.91
HU23;HU;23;92894;110062;160;17.0;17595;20.17
MT12;MT;12;4311;4197;97;3.2;-114;1.79
MT13;MT;13;4508;4478;98;1.0;-29;3.67
MT14;MT;14;4673;4654;98;0.8;-19;3.89
MT15;MT;15;4903;5102;100;1.2;199;7.82
MT16;MT;16;5083;5497;100;0.9;413;11.22
MT17;MT;17;5460;5980;102;1.3;520;12.2
MT18;MT;18;6080;6581;103;1.7;501;11.3
MT19;MT;19;6541;7245;105;1.5;704;13.26
MT20;MT;20;5867;7391;106;0.8;1525;23.62
MT21;MT;21;6647;8060;107;0.7;1416;20.67
MT22;MT;22;7777;8604;113;6.1;831;13.58
MT23;MT;23;9199;9982;120;5.6;789;11.86
NL12;NL;12;295776;288411;96;2.8;19484;13.46
NL13;NL;13;299694;290445;99;2.6;20705;13.63
NL14;NL;14;304268;300929;99;0.3;25725;14.64
NL15;NL;15;311229;309726;100;0.2;24998;14.19
NL16;NL;16;317186;321419;100;0.1;30936;15.44
NL17;NL;17;331022;329947;101;1.3;22747;13.23
NL18;NL;18;345861;347493;103;1.6;26406;13.9
NL19;NL;19;357553;365204;105;2.7;37757;16.21
NL20;NL;20;342051;380904;106;1.1;65170;22.41
NL21;NL;21;373364;403581;109;2.8;53799;19.39
